"","Harmala.alkaloids","Azaspirodecane.derivatives","Pyrroles","Dihydroisoquinolines","Isocoumarins.and.derivatives","Benzazepines","Phenol.esters","Indolonaphthyridine.alkaloids","Trithiolanes","Pyrrolizidines","Ergoline.and.derivatives","Lupin.alkaloids","Azolidines","Pyrrolizines","Saxitoxins..gonyautoxins..and.derivatives","Benzoxepines","Quinolizidines","X5..deoxyribonucleosides","Glycerolipids","Azetidines","Gelsemium.alkaloids","Pyrrolines","Daphniphylline.type.alkaloids","Aspidospermatan.type.alkaloids","Tropones","Aporphines","Dibenzylbutane.lignans","Aspidofractine.alkaloids","Naphthacenes","Cycloheptapyrans","Tannins","Tetrapyrroles.and.derivatives","Macrolide.lactams","Saccharolipids"
"Deferribacterota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deinococcota",0.92168358488709,0.92168358488709,0.871334532878964,0.777203683577293,0.92168358488709,0.92168358488709,0.777203683577293,0.898749178074427,0.688137588930975,0.777203683577293,0.92168358488709,0.726828835082088,0.347573651777449,0.777203683577293,0.347573651777449,0.92168358488709,0.898749178074427,0.898749178074427,0.898749178074427,0.688137588930975,0.898749178074427,0.871334532878964,0.777203683577293,0.777203683577293,0.898749178074427,0.92168358488709,0.898749178074427,0.92168358488709,0.898749178074427,1,0.688137588930975,0.898749178074427,0.777203683577293,0.726828835082088
"Dependentiae",0.777203683577293,0.92168358488709,0.777203683577293,0.726828835082088,0.92168358488709,0.777203683577293,0.898749178074427,0.92168358488709,0.92168358488709,0.898749178074427,0.92168358488709,0.92168358488709,0.726828835082088,0.898749178074427,0.726828835082088,0.92168358488709,0.871334532878964,0.871334532878964,0.92168358488709,0.871334532878964,0.777203683577293,0.92168358488709,0.92168358488709,0.92168358488709,5.25168474221915e-22,0.777203683577293,0.777203683577293,0.92168358488709,0.92168358488709,0.898749178074427,0.777203683577293,0.871334532878964,0.898749178074427,1
"Desulfobacterota",0.726828835082088,1,0.688137588930975,0.347573651777449,0.898749178074427,0.726828835082088,0.777203683577293,1,0.871334532878964,0.898749178074427,1,0.92168358488709,0.347573651777449,0.898749178074427,0.347573651777449,0.92168358488709,0.898749178074427,0.898749178074427,1,0.688137588930975,0.92168358488709,0.898749178074427,0.871334532878964,0.871334532878964,0.347573651777449,0.726828835082088,0.92168358488709,1,0.92168358488709,0.898749178074427,0.726828835082088,0.898749178074427,0.777203683577293,0.92168358488709
"Elusimicrobiota",0.726828835082088,1,0.688137588930975,0.347573651777449,0.898749178074427,0.726828835082088,0.777203683577293,1,0.871334532878964,0.898749178074427,1,0.92168358488709,0.347573651777449,0.898749178074427,0.347573651777449,0.92168358488709,0.898749178074427,0.898749178074427,1,0.688137588930975,0.92168358488709,0.898749178074427,0.871334532878964,0.871334532878964,0.347573651777449,0.726828835082088,0.92168358488709,1,0.92168358488709,0.898749178074427,0.726828835082088,0.898749178074427,0.777203683577293,0.92168358488709
"Entotheonellaeota",0.777203683577293,1,0.898749178074427,0.726828835082088,0.347573651777449,0.777203683577293,0.898749178074427,0.871334532878964,0.871334532878964,0.726828835082088,1,0.92168358488709,0.726828835082088,0.726828835082088,0.726828835082088,0.92168358488709,0.92168358488709,0.92168358488709,0.871334532878964,0.347573651777449,0.898749178074427,0.347573651777449,7.03610885155661e-22,7.03610885155661e-22,0.92168358488709,0.777203683577293,0.898749178074427,1,0.92168358488709,0.726828835082088,0.777203683577293,0.92168358488709,0.898749178074427,0.777203683577293
"FCPU426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fibrobacterota",0.347573651777449,0.898749178074427,0.871334532878964,0.726828835082088,0.347573651777449,0.347573651777449,0.92168358488709,0.347573651777449,0.92168358488709,0.92168358488709,0.898749178074427,0.777203683577293,0.898749178074427,0.92168358488709,0.898749178074427,0.777203683577293,0.898749178074427,0.898749178074427,0.347573651777449,0.777203683577293,0.92168358488709,0.871334532878964,0.726828835082088,0.726828835082088,0.898749178074427,0.347573651777449,0.92168358488709,0.898749178074427,0.92168358488709,5.25168474221915e-22,0.92168358488709,0.898749178074427,0.92168358488709,0.92168358488709
"Firmicutes",0.871334532878964,0.92168358488709,0.726828835082088,0.777203683577293,0.92168358488709,0.871334532878964,0.871334532878964,0.92168358488709,0.92168358488709,0.92168358488709,0.92168358488709,1,0.871334532878964,0.92168358488709,0.871334532878964,0.898749178074427,0.898749178074427,0.898749178074427,0.92168358488709,0.898749178074427,0.871334532878964,0.898749178074427,0.92168358488709,0.92168358488709,0.347573651777449,0.871334532878964,0.871334532878964,0.92168358488709,0.92168358488709,0.92168358488709,0.898749178074427,0.898749178074427,0.871334532878964,0.898749178074427
"Fusobacteriota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
