"","Unclassified","Fatty.Acyls","Organooxygen.compounds","Hydroxy.acids.and.derivatives","Organic.phosphonic.acids.and.derivatives","Heteroaromatic.compounds","Phenols","Organic.sulfuric.acids.and.derivatives","Diazines","Organic.carbonic.acids.and.derivatives","Keto.acids.and.derivatives","Dihydrofurans","Lactones","Organic.sulfonic.acids.and.derivatives","Carboxylic.acids.and.derivatives","Benzene.and.substituted.derivatives","Azoles","Quinolines.and.derivatives","Cinnamic.acids.and.derivatives","Benzothiazoles","Imidazopyrimidines","Pyrans","Tropane.alkaloids","Other.mixed.metal.non.metal.oxoanionic.compounds","Pyridines.and.derivatives","Phenol.ethers","Indolizidines","Indoles.and.derivatives","Thiazinanes","Thiosulfinic.acid.esters","Isocoumarans","Phenylpropanoic.acids","Furans","Prenol.lipids","Benzopyrans","Naphthalenes"
"Deferribacterota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deinococcota",0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.68270221116389,0.925012279375625,1,0.910644148807793,0.910644148807793,0.925012279375625,0.925012279375625,0.910644148807793,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.68270221116389,0.925012279375625,0.910644148807793,0.68270221116389,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.910644148807793,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625
"Dependentiae",1,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,1,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,1,0.925012279375625,0.925012279375625,0.910644148807793,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625
"Desulfobacterota",0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,1,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,1,0.925012279375625,0.925012279375625,1,1,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.910644148807793,0.910644148807793,0.925012279375625,0.910644148807793,0.910644148807793,0.925012279375625,0.910644148807793,1,0.925012279375625,0.925012279375625,0.925012279375625
"Elusimicrobiota",0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,1,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,1,0.925012279375625,0.925012279375625,1,1,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.910644148807793,0.910644148807793,0.925012279375625,0.910644148807793,0.910644148807793,0.925012279375625,0.910644148807793,1,0.925012279375625,0.925012279375625,0.925012279375625
"Entotheonellaeota",0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,1,0.910644148807793,0.925012279375625,0.910644148807793,0.910644148807793,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,1,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.910644148807793,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.68270221116389,0.925012279375625,0.68270221116389,0.925012279375625,0.925012279375625,0.925012279375625,1,0.910644148807793,0.925012279375625,0.910644148807793
"FCPU426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fibrobacterota",0.910644148807793,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.910644148807793,6.2556832958787e-22,0.925012279375625,0.925012279375625,0.910644148807793,0.910644148807793,0.910644148807793,0.910644148807793,0.925012279375625,0.68270221116389,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.910644148807793,0.910644148807793,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,1,0.910644148807793
"Firmicutes",0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,1,0.925012279375625,0.925012279375625,0.925012279375625,0.68270221116389,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.68270221116389,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625
"Fusobacteriota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GAL15",0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.910644148807793,0.910644148807793,0.910644148807793,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.910644148807793,0.910644148807793,0.925012279375625,0.910644148807793,0.68270221116389,0.925012279375625,6.2556832958787e-22,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625
"Gemmatimonadota",0.925012279375625,0.925012279375625,0.925012279375625,0.68270221116389,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.910644148807793,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.68270221116389,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.68270221116389,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.910644148807793
"Hydrogenedentes",0.910644148807793,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.910644148807793,0.379435649370635,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.910644148807793,0.925012279375625,0.379435649370635,0.925012279375625,0.925012279375625,0.910644148807793,0.988864977847502,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.988864977847502,0.910644148807793
"Latescibacterota",0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,1,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,1,0.925012279375625,0.925012279375625,1,1,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.910644148807793,0.910644148807793,0.925012279375625,0.910644148807793,0.910644148807793,0.925012279375625,0.910644148807793,1,0.925012279375625,0.925012279375625,0.925012279375625
"MBNT15",0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,1,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,1,0.925012279375625,0.925012279375625,1,1,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.910644148807793,0.910644148807793,0.925012279375625,0.910644148807793,0.910644148807793,0.925012279375625,0.910644148807793,1,0.925012279375625,0.925012279375625,0.925012279375625
"Methylomirabilota",0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.68270221116389,0.925012279375625,0.68270221116389,0.910644148807793,0.925012279375625,0.68270221116389,0.925012279375625,1,0.925012279375625,0.925012279375625
"Myxococcota",0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,1,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,1,0.910644148807793,0.910644148807793,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,1,0.910644148807793,0.910644148807793,0.910644148807793,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625
"NB1.j",0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.68270221116389,0.925012279375625,0.68270221116389,0.910644148807793,0.925012279375625,0.68270221116389,0.925012279375625,1,0.925012279375625,0.925012279375625
