,Betweenness,Degree,Mean_Abundance,Max_log2FC
Naphthalenes,0.0,0.0,6185472.446400001,0.0
Naphthofurans,0.0,0.0,24642465.339999996,0.0
Naphthopyrans,0.0,0.0,56302323.76600001,0.0
Neoflavonoids,0.0,0.0,1012571.3875800001,0.0
Organic carbonic acids and derivatives,0.0,0.0,8806569.375599999,0.0
Organic oxides,0.0,0.0,3137637.8285999997,0.0
Organic phosphonic acids and derivatives,0.0,0.0,12018418.375999998,0.0
Organic phosphoric acids and derivatives,0.0,0.0,14787505.721999997,0.0
Organic sulfonic acids and derivatives,0.0,0.0,3724056.7694000006,0.0
Organic sulfuric acids and derivatives,0.0,0.0,60911307.216000006,0.0
Organochlorides,0.0,0.0,9431894.72352,0.0
Organonitrogen compounds,0.0,0.0,843904864.54,0.0
Organooxygen compounds,0.0,0.0,728967958.1600001,0.0
Other mixed metal/non-metal oxoanionic compounds,0.0,0.0,891306.89946,0.0
Oxanes,0.0,0.0,14112280.7386,0.0
Oxepanes,0.0,0.0,2675378.722,0.0
Oxocins,0.0,0.0,3905411.6418,0.0
Peptidomimetics,0.0,0.0,147322341.85999998,0.0
Perylenequinones,0.0,0.0,1260461.53142,0.0
Phenanthrenes and derivatives,0.0,0.0,8561671.0232,0.0
Phenol esters,0.0,0.0,6875492.6354,0.0
Phenol ethers,0.0,0.0,16991077.216000002,0.0
Phenols,0.0,0.0,126980748.84,0.0
Phenylpropanoic acids,0.0,0.0,5948939.118199999,0.0
Piperidines,0.0,0.0,85233259.4,0.0
Plumeran-type alkaloids,0.0,0.0,1799876.8546,0.0
Polycyclic hydrocarbons,0.0,0.0,12411161.206600001,0.0
Prenol lipids,0.0,0.0,1508637566.4,0.0
Processing_1,0.0,4.0,0.0,0.0
Processing_2,0.0,4.0,0.0,0.0
Processing_3,0.0,4.0,0.0,0.0
Processing_4,0.0,4.0,0.0,0.0
Pteridines and derivatives,0.0,0.0,1382728.4510000001,0.0
Purine nucleosides,0.0,0.0,27105274.558,0.0
Pyrans,0.0,0.0,92767637.036,0.0
Pyridines and derivatives,0.0,0.0,22470330.674000002,0.0
Pyridopyrimidines,0.0,0.0,734981.87996,0.0
Pyrimidine nucleosides,0.0,0.0,7846177.7132,0.0
Pyrroles,0.0,0.0,1824204.6553999998,0.0
Pyrrolidines,0.0,0.0,215606775.54000002,0.0
Pyrrolines,0.0,0.0,1097562.201966,0.0
Pyrrolizidines,0.0,0.0,49829248.34,0.0
Pyrrolizines,0.0,0.0,3487626.1524000005,0.0
Quinolines and derivatives,0.0,0.0,40861050.934,0.0
Quinolizidines,0.0,0.0,1335028.29,0.0
Quinolizines,0.0,0.0,18143828.551999997,0.0
Saccharolipids,0.0,0.0,1933428.1763999998,0.0
"Saxitoxins, gonyautoxins, and derivatives",0.0,0.0,783874.5690400001,0.0
Sphingolipids,0.0,0.0,28156896.588,0.0
Steroids and steroid derivatives,0.0,0.0,299216895.36,0.0
Stilbenes,0.0,0.0,54351242.716,0.0
Strychnos alkaloids,0.0,0.0,6507022.61592,0.0
Sulfoxides,0.0,0.0,17403213.913999997,0.0
Tannins,0.0,0.0,385876.605652,0.0
Tetrahydrofurans,0.0,0.0,8209708.789199999,0.0
Tetrahydroisoquinolines,0.0,0.0,44989396.816,0.0
Tetralins,0.0,0.0,6331572.0886,0.0
Tetrapyrroles and derivatives,0.0,0.0,418343.35422,0.0
Thiazinanes,0.0,0.0,44241.235842,0.0
Thiosulfinic acid esters,0.0,0.0,184775.77041599998,0.0
Trithiolanes,0.0,0.0,368030492.34000003,0.0
Tropane alkaloids,0.0,0.0,38380527.332,0.0
