Treatment,Compound,log2FC
Processing_4,Dihydroisoquinolines,0.11170736456655653
Processing_1,Diazines,-1.5000817290121515
Processing_2,Diazines,-1.7680342030956524
Processing_3,Diazines,-1.2988587507234817
Processing_4,Diazines,-1.8812469682950939
Processing_1,Imidazopyrimidines,-1.3458487312620488
Processing_2,Imidazopyrimidines,-0.8297187268693667
Processing_3,Imidazopyrimidines,-1.2149602161196276
Processing_4,Imidazopyrimidines,-1.723328959924725
Processing_1,Isocoumarans,-0.6984793317662299
Processing_2,Isocoumarans,-0.9177095954649235
Processing_3,Isocoumarans,-1.5999843596986285
Processing_4,Isocoumarans,-1.4294559784938967
Processing_1,Imidazodiazepines,-1.5822567498600106
Processing_2,Imidazodiazepines,-1.3333804248588872
Processing_3,Imidazodiazepines,-0.5726629147606508
Processing_4,Imidazodiazepines,-1.2210214408465332
Processing_1,Oxanes,-1.0343564645504344
Processing_2,Oxanes,-1.5486848443394519
Processing_3,Oxanes,-1.0222713003215333
Processing_4,Oxanes,-1.1659627940073816
Processing_1,Aryltetralin lignans,0.2101442561539091
Processing_2,Aryltetralin lignans,0.07805616407539363
Processing_3,Aryltetralin lignans,0.5513852875899474
Processing_4,Aryltetralin lignans,1.5134746621346193
Processing_1,Heteroaromatic compounds,-0.8611588469966
Processing_2,Heteroaromatic compounds,-1.4988134964166382
Processing_3,Heteroaromatic compounds,-0.7856960368701268
Processing_4,Heteroaromatic compounds,-1.0247865248361596
Processing_1,Phenanthrenes and derivatives,0.4813289465165683
Processing_2,Phenanthrenes and derivatives,1.4910912529031186
Processing_3,Phenanthrenes and derivatives,1.1641942008562038
Processing_4,Phenanthrenes and derivatives,1.151467359728584
Processing_1,Naphthacenes,-0.2609235941805849
Processing_2,Naphthacenes,-1.4217628565996316
Processing_3,Naphthacenes,-1.0007254619393142
Processing_4,Naphthacenes,-0.5630181947005632
