"","Coumarins.and.derivatives","Naphthofurans","Isoquinolines.and.derivatives","Azepines","Furopyrans","Benzofurans","Sulfoxides","Anthracenes","Pyrimidine.nucleosides","Benzodioxoles","Diazanaphthalenes","Phenanthrenes.and.derivatives","Oxocins","Organonitrogen.compounds","Oxepanes","Naphthopyrans","Bi..and.oligothiophenes","Organochlorides","Azaphilones","Tetrahydroisoquinolines","Purine.nucleosides","Dioxanes","Isoflavonoids","Benzoxazines","X2.arylbenzofuran.flavonoids","Flavonoids","Macrolides.and.analogues","Vinylogous.acids","Piperidines","Stilbenes","Linear.1.3.diarylpropanoids","Amaryllidaceae.alkaloids","Benzodiazepines","Steroids.and.steroid.derivatives","Diarylheptanoids","Tetralins"
"Planctomycetota",-0.5,-0.7,-0.8,0.6,0.2,0.1,-0.1,0.3,0.2,0.3,0.3,0,0.6,0.1,-0.9,-0.8,0.7,-0.7,-0.3,-0.1,-0.1,-0.8,-0.6,0.9,-0.8,-0.3,0.2,-0.5,0.7,-0.7,-0.2,0.6,0.1,-0.1,0.6,0.1
"Proteobacteria",0.5,0.7,0.8,-0.6,-0.2,-0.1,0.1,-0.3,-0.2,-0.3,-0.3,0,-0.6,-0.1,0.9,0.8,-0.7,0.7,0.3,0.1,0.1,0.8,0.6,-0.9,0.8,0.3,-0.2,0.5,-0.7,0.7,0.2,-0.6,-0.1,0.1,-0.6,-0.1
"RCP2.54",-0.4,-0.7,-0.3,0.5,-0.7,-0.4,0.6,0.2,0.3,-0.2,0.7,0.1,-0.1,0.6,-0.4,-0.3,-0.3,-0.3,0.5,0.6,0.4,-0.2,-0.6,0.4,-0.3,-1,0.7,-0.6,0.7,0.3,0.2,0.6,-0.9,0.1,0.5,0.9
"SAR324_clade.Marine_group_B.",-1,-0.1,-0.4,-0.2,0.1,0.3,0.2,-0.6,-0.4,-0.1,0.9,0,0.8,0.8,-0.2,-0.9,0.6,-0.1,0.6,0.7,-0.3,0.1,-0.3,0.2,-0.4,-0.4,0.1,0,0.1,-0.6,-0.1,0.3,-0.2,-0.8,-0.2,0.3
"Spirochaetota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sumerlaeota",-0.6,0.3,0.2,-0.6,0.8,0.1,-0.6,-0.7,-0.2,0.5,0.3,-0.6,0.6,0.5,0,-0.5,0.7,-0.2,0.3,0.1,-0.1,0.3,0.5,0,0.2,0.3,0,0.1,-0.3,-0.7,0.3,-0.5,0.5,-0.9,-0.6,-0.1
"Synergistota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Verrucomicrobiota",0.4,-0.7,0.2,0.6,0,-0.9,-0.4,0.7,1,0.7,-0.3,-0.6,-0.6,-0.1,-0.6,0.3,-0.3,-0.8,-0.3,-0.5,0.9,-0.5,0.1,0.6,0.2,-0.3,0.8,-0.9,0.7,0.3,0.7,-0.1,-0.1,0.5,0.6,0.5
"WOR.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WPS.2",0.6,0,0.5,0.1,-0.7,-0.5,0.4,0.3,0.3,-0.3,-0.2,0.1,-0.9,-0.1,0.4,0.8,-1,0.3,0.2,0.1,0.5,0.3,0.1,-0.4,0.5,-0.3,0.3,-0.1,0,1,0.3,-0.1,-0.6,0.6,0.1,0.4
"WS2",0.1,0.8,0.2,-0.6,-0.3,0.6,0.5,-0.5,-0.8,-0.8,0,0.6,0,-0.1,0.9,0.3,-0.3,1,0.3,0.4,-0.6,0.7,0.1,-0.9,0.2,0.3,-0.7,0.9,-0.8,0.3,-0.5,-0.1,-0.1,-0.1,-0.6,-0.4
"unclassified_Bacteria",-0.7,-0.1,0.1,-0.3,0.6,-0.2,-0.5,-0.5,0.1,0.6,0.5,-0.7,0.5,0.7,-0.3,-0.6,0.6,-0.5,0.4,0.2,0.2,0.1,0.3,0.3,0.1,-0.1,0.4,-0.3,0.1,-0.6,0.5,-0.3,0.2,-0.8,-0.3,0.3
