"","Coumarins.and.derivatives","Naphthofurans","Isoquinolines.and.derivatives","Azepines","Furopyrans","Benzofurans","Sulfoxides","Anthracenes","Pyrimidine.nucleosides","Benzodioxoles","Diazanaphthalenes","Phenanthrenes.and.derivatives","Oxocins","Organonitrogen.compounds","Oxepanes","Naphthopyrans","Bi..and.oligothiophenes","Organochlorides","Azaphilones","Tetrahydroisoquinolines","Purine.nucleosides","Dioxanes","Isoflavonoids","Benzoxazines","X2.arylbenzofuran.flavonoids","Flavonoids","Macrolides.and.analogues","Vinylogous.acids","Piperidines","Stilbenes","Linear.1.3.diarylpropanoids","Amaryllidaceae.alkaloids","Benzodiazepines","Steroids.and.steroid.derivatives","Diarylheptanoids","Tetralins"
"Deferribacterota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deinococcota",0.921910813225162,0.884179367406245,0.921910813225162,0.884179367406245,0.440247220283256,0.884179367406245,0.71667174160603,0.921910813225162,0.921910813225162,0.805004568438351,0.745933044969377,0.884179367406245,0.884179367406245,0.805004568438351,1,1,0.745933044969377,0.921910813225162,0.745933044969377,0.745933044969377,0.884179367406245,0.921910813225162,0.805004568438351,1,0.921910813225162,0.440247220283256,0.805004568438351,0.884179367406245,0.884179367406245,0.745933044969377,0.921910813225162,0.805004568438351,3.33636442446864e-22,0.921910813225162,0.884179367406245,0.71667174160603
"Dependentiae",0.921910813225162,5.6619981817232e-22,0.805004568438351,0.440247220283256,0.884179367406245,0.805004568438351,0.921910813225162,0.745933044969377,0.745933044969377,0.884179367406245,0.921910813225162,0.921910813225162,0.921910813225162,0.921910813225162,0.440247220283256,0.884179367406245,1,0.71667174160603,0.921910813225162,0.921910813225162,0.805004568438351,0.71667174160603,0.745933044969377,0.440247220283256,0.805004568438351,0.745933044969377,0.745933044969377,0.440247220283256,3.33636442446864e-22,1,0.921910813225162,0.745933044969377,0.884179367406245,0.884179367406245,0.440247220283256,0.745933044969377
"Desulfobacterota",0.884179367406245,0.440247220283256,0.745933044969377,0.71667174160603,0.745933044969377,0.884179367406245,0.805004568438351,0.805004568438351,0.884179367406245,0.921910813225162,0.805004568438351,0.921910813225162,1,0.884179367406245,0.745933044969377,0.884179367406245,0.921910813225162,0.805004568438351,0.921910813225162,0.884179367406245,0.884179367406245,0.745933044969377,0.71667174160603,0.745933044969377,0.745933044969377,0.440247220283256,0.745933044969377,0.745933044969377,0.440247220283256,0.921910813225162,1,0.71667174160603,0.745933044969377,0.884179367406245,0.71667174160603,0.745933044969377
"Elusimicrobiota",0.884179367406245,0.440247220283256,0.745933044969377,0.71667174160603,0.745933044969377,0.884179367406245,0.805004568438351,0.805004568438351,0.884179367406245,0.921910813225162,0.805004568438351,0.921910813225162,1,0.884179367406245,0.745933044969377,0.884179367406245,0.921910813225162,0.805004568438351,0.921910813225162,0.884179367406245,0.884179367406245,0.745933044969377,0.71667174160603,0.745933044969377,0.745933044969377,0.440247220283256,0.745933044969377,0.745933044969377,0.440247220283256,0.921910813225162,1,0.71667174160603,0.745933044969377,0.884179367406245,0.71667174160603,0.745933044969377
"Entotheonellaeota",0.440247220283256,0.921910813225162,0.884179367406245,0.921910813225162,0.884179367406245,0.921910813225162,0.805004568438351,0.805004568438351,0.884179367406245,0.884179367406245,3.33636442446864e-22,0.921910813225162,0.805004568438351,0.440247220283256,0.921910813225162,0.745933044969377,0.921910813225162,1,0.71667174160603,0.440247220283256,0.921910813225162,0.921910813225162,0.884179367406245,0.921910813225162,0.884179367406245,0.745933044969377,0.884179367406245,0.921910813225162,0.921910813225162,0.921910813225162,1,0.884179367406245,0.745933044969377,0.745933044969377,0.921910813225162,0.745933044969377
"FCPU426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fibrobacterota",0.440247220283256,0.884179367406245,0.745933044969377,0.921910813225162,0.921910813225162,0.884179367406245,0.921910813225162,0.884179367406245,0.884179367406245,1,0.745933044969377,0.921910813225162,0.440247220283256,0.805004568438351,0.805004568438351,5.6619981817232e-22,0.71667174160603,0.884179367406245,0.921910813225162,0.884179367406245,0.884179367406245,0.884179367406245,0.805004568438351,0.805004568438351,0.745933044969377,0.884179367406245,1,0.921910813225162,0.884179367406245,0.71667174160603,0.884179367406245,0.805004568438351,1,0.745933044969377,0.921910813225162,0.921910813225162
"Firmicutes",0.921910813225162,0.440247220283256,0.745933044969377,3.33636442446864e-22,0.884179367406245,0.884179367406245,0.921910813225162,0.440247220283256,0.745933044969377,0.921910813225162,0.921910813225162,0.921910813225162,0.921910813225162,0.884179367406245,0.71667174160603,0.921910813225162,0.921910813225162,0.745933044969377,0.805004568438351,0.884179367406245,0.884179367406245,0.440247220283256,0.745933044969377,0.71667174160603,0.745933044969377,0.805004568438351,0.884179367406245,0.745933044969377,0.440247220283256,0.921910813225162,0.921910813225162,0.745933044969377,0.884179367406245,0.745933044969377,3.33636442446864e-22,0.884179367406245
"Fusobacteriota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GAL15",0.884179367406245,0.745933044969377,0.440247220283256,0.745933044969377,0.745933044969377,0.884179367406245,0.745933044969377,0.884179367406245,0.921910813225162,0.805004568438351,0.884179367406245,0.745933044969377,0.884179367406245,1,0.805004568438351,0.805004568438351,0.921910813225162,0.921910813225162,0.921910813225162,0.884179367406245,0.884179367406245,0.745933044969377,5.6619981817232e-22,0.805004568438351,0.440247220283256,0.745933044969377,1,0.921910813225162,0.745933044969377,0.921910813225162,0.745933044969377,3.33636442446864e-22,0.805004568438351,0.884179367406245,0.745933044969377,0.921910813225162
"Gemmatimonadota",0.884179367406245,0.745933044969377,0.921910813225162,0.745933044969377,1,0.440247220283256,0.884179367406245,0.745933044969377,5.6619981817232e-22,0.745933044969377,0.884179367406245,0.745933044969377,0.745933044969377,0.921910813225162,0.745933044969377,0.884179367406245,0.884179367406245,0.71667174160603,0.884179367406245,0.805004568438351,0.440247220283256,0.805004568438351,0.921910813225162,0.745933044969377,0.921910813225162,0.884179367406245,0.71667174160603,0.440247220283256,0.745933044969377,0.884179367406245,0.745933044969377,0.921910813225162,0.921910813225162,0.805004568438351,0.745933044969377,0.805004568438351
"Hydrogenedentes",0.616875584879119,0.921910813225162,0.745933044969377,0.983908261166562,0.884179367406245,0.805004568438351,0.983908261166562,0.884179367406245,0.884179367406245,0.983908261166562,0.745933044969377,0.921910813225162,0.224850755182599,0.884179367406245,0.884179367406245,0.224850755182599,0.616875584879119,0.921910813225162,0.921910813225162,0.884179367406245,0.805004568438351,0.921910813225162,0.884179367406245,0.884179367406245,0.745933044969377,0.921910813225162,0.921910813225162,0.921910813225162,0.921910813225162,0.616875584879119,0.884179367406245,0.884179367406245,0.921910813225162,0.745933044969377,0.983908261166562,0.921910813225162
"Latescibacterota",0.884179367406245,0.440247220283256,0.745933044969377,0.71667174160603,0.745933044969377,0.884179367406245,0.805004568438351,0.805004568438351,0.884179367406245,0.921910813225162,0.805004568438351,0.921910813225162,1,0.884179367406245,0.745933044969377,0.884179367406245,0.921910813225162,0.805004568438351,0.921910813225162,0.884179367406245,0.884179367406245,0.745933044969377,0.71667174160603,0.745933044969377,0.745933044969377,0.440247220283256,0.745933044969377,0.745933044969377,0.440247220283256,0.921910813225162,1,0.71667174160603,0.745933044969377,0.884179367406245,0.71667174160603,0.745933044969377
"MBNT15",0.884179367406245,0.440247220283256,0.745933044969377,0.71667174160603,0.745933044969377,0.884179367406245,0.805004568438351,0.805004568438351,0.884179367406245,0.921910813225162,0.805004568438351,0.921910813225162,1,0.884179367406245,0.745933044969377,0.884179367406245,0.921910813225162,0.805004568438351,0.921910813225162,0.884179367406245,0.884179367406245,0.745933044969377,0.71667174160603,0.745933044969377,0.745933044969377,0.440247220283256,0.745933044969377,0.745933044969377,0.440247220283256,0.921910813225162,1,0.71667174160603,0.745933044969377,0.884179367406245,0.71667174160603,0.745933044969377
"Methylomirabilota",0.745933044969377,0.745933044969377,0.71667174160603,0.745933044969377,0.805004568438351,0.921910813225162,0.745933044969377,0.921910813225162,1,0.884179367406245,0.745933044969377,0.884179367406245,0.884179367406245,0.884179367406245,0.745933044969377,0.745933044969377,0.921910813225162,0.884179367406245,0.921910813225162,0.805004568438351,0.921910813225162,0.805004568438351,0.440247220283256,0.745933044969377,0.71667174160603,0.71667174160603,0.884179367406245,0.884179367406245,0.745933044969377,0.921910813225162,0.884179367406245,0.440247220283256,0.745933044969377,1,0.745933044969377,0.805004568438351
"Myxococcota",0.921910813225162,0.884179367406245,0.921910813225162,0.884179367406245,3.33636442446864e-22,0.921910813225162,0.440247220283256,0.884179367406245,1,0.745933044969377,0.884179367406245,0.745933044969377,0.884179367406245,0.921910813225162,0.921910813225162,0.921910813225162,0.745933044969377,0.884179367406245,0.884179367406245,0.805004568438351,0.921910813225162,1,0.745933044969377,0.921910813225162,0.921910813225162,0.745933044969377,0.921910813225162,0.921910813225162,0.884179367406245,0.745933044969377,0.921910813225162,0.745933044969377,0.440247220283256,0.805004568438351,0.884179367406245,0.805004568438351
"NB1.j",0.745933044969377,0.745933044969377,0.71667174160603,0.745933044969377,0.805004568438351,0.921910813225162,0.745933044969377,0.921910813225162,1,0.884179367406245,0.745933044969377,0.884179367406245,0.884179367406245,0.884179367406245,0.745933044969377,0.745933044969377,0.921910813225162,0.884179367406245,0.921910813225162,0.805004568438351,0.921910813225162,0.805004568438351,0.440247220283256,0.745933044969377,0.71667174160603,0.71667174160603,0.884179367406245,0.884179367406245,0.745933044969377,0.921910813225162,0.884179367406245,0.440247220283256,0.745933044969377,1,0.745933044969377,0.805004568438351
"Nitrospirota",0.921910813225162,0.805004568438351,0.805004568438351,0.745933044969377,0.440247220283256,1,0.71667174160603,0.745933044969377,0.921910813225162,0.745933044969377,0.921910813225162,0.745933044969377,0.884179367406245,0.921910813225162,0.921910813225162,0.921910813225162,0.805004568438351,0.921910813225162,0.921910813225162,0.921910813225162,1,0.884179367406245,0.71667174160603,0.921910813225162,0.805004568438351,0.745933044969377,0.921910813225162,0.921910813225162,0.805004568438351,0.805004568438351,0.884179367406245,0.71667174160603,0.745933044969377,0.745933044969377,0.745933044969377,0.884179367406245
