Treatment,Compound,log2FC
Lupin alkaloids,Fatty Acyls,
Macrolactams,Fatty Acyls,
Macrolide lactams,Fatty Acyls,
Macrolides and analogues,Fatty Acyls,
Naphthacenes,Fatty Acyls,
Naphthalenes,Fatty Acyls,
Naphthofurans,Fatty Acyls,
Naphthopyrans,Fatty Acyls,
Neoflavonoids,Fatty Acyls,
Organic carbonic acids and derivatives,Fatty Acyls,
Organic oxides,Fatty Acyls,
Organic phosphonic acids and derivatives,Fatty Acyls,
Organic phosphoric acids and derivatives,Fatty Acyls,
Organic sulfonic acids and derivatives,Fatty Acyls,
Organic sulfuric acids and derivatives,Fatty Acyls,
Organochlorides,Fatty Acyls,
Organonitrogen compounds,Fatty Acyls,
Organooxygen compounds,Fatty Acyls,
Other mixed metal/non-metal oxoanionic compounds,Fatty Acyls,
Oxanes,Fatty Acyls,
Oxepanes,Fatty Acyls,
Oxocins,Fatty Acyls,
Peptidomimetics,Fatty Acyls,
Perylenequinones,Fatty Acyls,
Phenanthrenes and derivatives,Fatty Acyls,
Phenol esters,Fatty Acyls,
Phenol ethers,Fatty Acyls,
Phenols,Fatty Acyls,
Phenylpropanoic acids,Fatty Acyls,
Piperidines,Fatty Acyls,
Plumeran-type alkaloids,Fatty Acyls,
Polycyclic hydrocarbons,Fatty Acyls,
Prenol lipids,Fatty Acyls,
Processing_1,Fatty Acyls,
Processing_2,Fatty Acyls,
Processing_3,Fatty Acyls,
Processing_4,Fatty Acyls,
Pteridines and derivatives,Fatty Acyls,
Purine nucleosides,Fatty Acyls,
Pyrans,Fatty Acyls,
Pyridines and derivatives,Fatty Acyls,
Pyridopyrimidines,Fatty Acyls,
Pyrimidine nucleosides,Fatty Acyls,
Pyrroles,Fatty Acyls,
Pyrrolidines,Fatty Acyls,
Pyrrolines,Fatty Acyls,
Pyrrolizidines,Fatty Acyls,
Pyrrolizines,Fatty Acyls,
Quinolines and derivatives,Fatty Acyls,
Quinolizidines,Fatty Acyls,
Quinolizines,Fatty Acyls,
Saccharolipids,Fatty Acyls,
"Saxitoxins, gonyautoxins, and derivatives",Fatty Acyls,
Sphingolipids,Fatty Acyls,
Steroids and steroid derivatives,Fatty Acyls,
Stilbenes,Fatty Acyls,
Strychnos alkaloids,Fatty Acyls,
Sulfoxides,Fatty Acyls,
Tannins,Fatty Acyls,
Tetrahydrofurans,Fatty Acyls,
Tetrahydroisoquinolines,Fatty Acyls,
Tetralins,Fatty Acyls,
Tetrapyrroles and derivatives,Fatty Acyls,
Thiazinanes,Fatty Acyls,
Thiosulfinic acid esters,Fatty Acyls,
Trithiolanes,Fatty Acyls,
Tropane alkaloids,Fatty Acyls,
Tropones,Fatty Acyls,
Unclassified,Fatty Acyls,
Unsaturated hydrocarbons,Fatty Acyls,
Vinylogous acids,Fatty Acyls,
2-arylbenzofuran flavonoids,Organooxygen compounds,
5'-deoxyribonucleosides,Organooxygen compounds,
Acenaphthylenes,Organooxygen compounds,
Acyl halides,Organooxygen compounds,
"Allyl-type 1,3-dipolar organic compounds",Organooxygen compounds,
Amaryllidaceae alkaloids,Organooxygen compounds,
Angucyclines,Organooxygen compounds,
Anthracenes,Organooxygen compounds,
Aporphines,Organooxygen compounds,
Arylnaphthalene lignans,Organooxygen compounds,
