"","Furanoid.lignans","Acyl.halides","Isobenzofurans","Furofurans","Indanes","Fluorenes","Angucyclines","Aryltetralin.lignans","Carboximidic.acids.and.derivatives","Perylenequinones","Oxanes","Pyridopyrimidines","Benzophenanthridine.alkaloids","Sphingolipids","Isoindoles.and.derivatives","Arylnaphthalene.lignans","Depsides.and.depsidones","Plumeran.type.alkaloids","Neoflavonoids","Glycerophospholipids","Peptidomimetics","Macrolactams","Strychnos.alkaloids","Pyrrolidines","Tetrahydrofurans","Unsaturated.hydrocarbons","Polycyclic.hydrocarbons","Lactams","Organic.phosphoric.acids.and.derivatives","Acenaphthylenes","Quinolizines","Imidazodiazepines","Allyl.type.1.3.dipolar.organic.compounds","Organic.oxides","Pteridines.and.derivatives","Azepanes"
"NB1.j",0,-0.8,-0.3,0.3,-0.6,-0.7,-0.9,0.1,0.1,0.6,-0.5,-0.3,0.6,-0.4,-0.3,-0.5,-0.6,0.1,-0.8,0.9,0,1,0.9,0.9,0.4,-0.1,-0.7,-0.1,0.3,0.4,-0.2,-0.9,0.3,0.5,-0.8,0.9
"Nitrospirota",-0.1,-0.6,0.4,0.1,0.2,-0.6,-0.8,-0.3,0.8,0.3,-0.3,0.4,1,-0.2,-0.4,-0.2,-0.7,0.2,-0.5,0.5,-0.1,0.6,0.3,0.7,-0.3,0.3,-0.1,0,-0.5,-0.3,0.5,-0.3,-0.4,0.3,-0.6,0.5
"Patescibacteria",0.1,-0.6,-0.1,0,-0.3,-0.6,-1,0,0.3,0.7,-0.7,-0.1,0.8,-0.2,-0.1,-0.3,-0.5,0.2,-0.9,0.7,0.1,0.9,0.8,0.8,0.3,-0.2,-0.6,0.2,-0.1,0.3,-0.1,-0.8,0.1,0.2,-0.6,0.7
"Planctomycetota",-0.2,-0.3,-0.3,0.2,-0.5,0,-0.6,-0.1,-0.5,0.9,-0.6,-0.3,0.1,-0.5,0.3,0.1,0.1,-0.4,-0.8,0.4,-0.2,0.7,0.9,0.6,0.6,-0.6,-1,0.4,0.3,0.6,-0.7,-0.9,0.3,0.1,-0.3,0.4
"Proteobacteria",0.2,0.3,0.3,-0.2,0.5,0,0.6,0.1,0.5,-0.9,0.6,0.3,-0.1,0.5,-0.3,-0.1,-0.1,0.4,0.8,-0.4,0.2,-0.7,-0.9,-0.6,-0.6,0.6,1,-0.4,-0.3,-0.6,0.7,0.9,-0.3,-0.1,0.3,-0.4
"RCP2.54",-0.3,-1,0,0.7,-0.4,-0.8,-0.6,-0.1,0.4,0.1,0.1,0,0.6,-0.6,-0.8,-0.6,-0.9,0,-0.3,0.9,-0.3,0.8,0.5,0.9,-0.1,0.5,-0.3,-0.6,0.3,-0.1,0.3,-0.5,0,0.9,-1,0.9
"SAR324_clade.Marine_group_B.",0.4,-0.4,-0.9,0.1,-1,-0.5,-0.3,0.7,-0.5,0.2,-0.3,-0.9,-0.2,0,-0.1,-0.7,-0.2,0.3,-0.4,0.7,0.4,0.6,0.7,0.3,0.8,-0.3,-0.5,-0.3,0.9,0.8,-0.6,-0.7,0.9,0.3,-0.4,0.7
"Spirochaetota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sumerlaeota",0.2,0.3,-0.7,0,-0.6,0.3,0.5,0.5,-0.9,-0.1,0.1,-0.7,-0.9,0.1,0.3,-0.1,0.5,-0.1,0.2,-0.1,0.2,-0.2,0.1,-0.4,0.6,-0.4,-0.2,-0.1,0.8,0.6,-0.7,-0.1,0.7,-0.1,0.3,-0.1
"Synergistota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Verrucomicrobiota",-1,-0.3,0.7,0.8,0.4,0.3,0.1,-0.9,0.1,0.1,0.5,0.7,0.1,-0.9,-0.3,0.5,-0.1,-0.9,0.2,-0.1,-1,0,-0.1,0.4,-0.6,0.4,-0.2,-0.1,-0.2,-0.6,0.3,0.1,-0.7,0.5,-0.3,-0.1
"WOR.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WPS.2",-0.3,-0.3,0.7,0.3,0.6,-0.3,0.1,-0.4,0.9,-0.6,0.6,0.7,0.5,-0.1,-0.7,-0.1,-0.6,0.1,0.5,0,-0.3,-0.2,-0.6,0.1,-0.9,0.9,0.7,-0.5,-0.5,-0.9,1,0.6,-0.7,0.4,-0.3,0
"WS2",0.8,0.3,-0.2,-0.7,0.1,-0.3,0.1,0.6,0.4,-0.5,-0.1,-0.2,0.1,0.9,0,-0.4,-0.1,0.9,0.2,-0.1,0.8,-0.3,-0.4,-0.5,0,0.1,0.7,-0.1,-0.2,0,0.3,0.4,0.2,-0.4,0.3,-0.1
"unclassified_Bacteria",-0.1,-0.1,-0.6,0.4,-0.7,0.1,0.3,0.3,-0.8,0,0.2,-0.6,-0.7,-0.3,0,-0.2,0.2,-0.3,0.1,0.2,-0.1,0.1,0.3,0,0.5,-0.2,-0.4,-0.3,0.9,0.5,-0.6,-0.3,0.6,0.3,-0.1,0.2
