OTU ID,RDYS_1,RDYS_2,RDYS_3,RDYS_4,RDYS_5
ASV_360,0,0,0,0,0
ASV_362,0,0,0,0,0
ASV_363,0,0,0,3,0
ASV_364,0,0,0,0,0
ASV_365,0,0,0,0,0
ASV_368,0,0,0,0,0
ASV_369,0,0,4,0,0
ASV_370,0,0,0,0,0
ASV_372,0,0,0,0,0
ASV_375,0,0,0,0,0
ASV_377,0,0,0,0,0
ASV_379,11,0,0,11,22
ASV_380,0,0,7,0,4
ASV_381,0,0,0,0,0
ASV_382,0,0,0,7,0
ASV_383,0,0,0,0,0
ASV_384,0,0,0,0,0
ASV_385,0,0,0,0,0
ASV_386,0,0,0,0,0
ASV_387,0,0,0,0,0
ASV_388,0,0,0,9,17
ASV_389,0,0,0,0,0
ASV_390,0,0,0,0,0
ASV_391,0,0,0,0,0
ASV_394,0,0,0,0,0
ASV_395,0,0,0,0,0
ASV_396,0,0,0,0,0
ASV_398,0,0,0,0,0
ASV_399,0,0,0,0,0
ASV_401,0,0,0,0,0
ASV_402,0,0,0,0,0
ASV_403,0,0,0,0,0
ASV_405,0,0,0,0,7
ASV_406,0,0,0,0,0
ASV_407,0,8,0,0,0
ASV_408,0,0,0,0,0
ASV_409,0,0,0,0,0
ASV_410,0,0,0,0,0
ASV_411,0,0,0,0,0
ASV_412,3,0,0,0,0
ASV_413,0,0,0,0,8
ASV_414,0,0,0,0,0
ASV_415,0,0,0,0,0
ASV_417,0,0,0,0,2
ASV_418,0,0,0,0,0
ASV_419,0,0,0,0,0
ASV_420,0,0,6,0,0
ASV_421,0,0,0,0,0
ASV_422,0,0,0,0,0
ASV_423,0,0,0,0,0
ASV_425,2,0,0,0,3
ASV_426,0,0,0,0,0
ASV_428,10,24,60,20,20
ASV_430,0,0,0,0,0
ASV_431,0,0,0,0,0
ASV_433,0,0,0,0,0
ASV_437,0,0,0,0,0
ASV_438,0,0,0,0,3
ASV_439,0,0,0,0,0
ASV_440,0,50,18,36,27
ASV_441,2,0,0,0,0
ASV_442,0,0,0,0,0
ASV_443,0,0,0,0,0
ASV_444,0,0,0,0,0
ASV_445,4,0,0,0,0
ASV_448,0,0,0,0,0
ASV_449,5,0,0,0,0
ASV_452,0,0,0,3,0
ASV_455,0,0,0,0,0
ASV_459,0,0,0,0,0
ASV_460,0,0,0,0,0
ASV_461,0,0,0,0,0
ASV_462,0,0,0,0,0
ASV_463,0,0,0,0,0
ASV_464,0,0,0,0,0
ASV_465,0,0,0,0,7
ASV_466,0,0,0,0,0
ASV_468,0,0,0,0,0
ASV_469,0,0,0,0,0
ASV_470,2,0,0,0,0
ASV_471,0,0,0,0,0
ASV_472,0,0,0,0,0
ASV_473,0,0,0,0,0
ASV_474,0,0,0,0,0
ASV_475,0,0,0,0,0
ASV_476,0,0,0,0,0
ASV_477,0,0,0,0,0
ASV_479,0,0,0,0,0
ASV_480,0,0,0,0,0
ASV_482,0,0,0,0,0
ASV_483,0,0,0,0,0
ASV_484,0,0,0,0,0
ASV_485,0,0,0,0,0
ASV_488,0,0,0,0,0
ASV_489,0,0,0,2,0
ASV_492,0,0,0,0,0
ASV_493,0,0,0,0,6
ASV_494,0,0,0,0,0
ASV_495,0,0,8,0,0
ASV_496,0,0,0,0,0
ASV_497,0,0,2,0,0
ASV_499,3,0,0,0,0
ASV_500,0,0,0,0,0
ASV_502,0,0,0,0,0
ASV_503,0,0,0,0,0
ASV_504,0,0,0,0,0
ASV_505,0,0,0,0,0
ASV_506,0,0,0,0,0
ASV_507,0,0,0,0,0
ASV_508,0,4,0,0,0
ASV_510,0,0,0,0,0
ASV_511,6,0,0,0,0
ASV_512,0,0,0,0,0
ASV_514,0,0,0,0,0
ASV_515,0,0,0,0,0
ASV_516,0,0,0,0,0
ASV_517,0,0,0,0,0
ASV_518,0,0,0,0,0
ASV_520,0,0,0,4,0
ASV_523,0,0,0,0,0
ASV_524,0,0,0,0,0
ASV_525,0,0,0,0,7
ASV_526,0,0,3,0,2
ASV_528,4,0,0,0,0
ASV_530,0,0,0,0,0
ASV_531,0,0,6,0,0
ASV_532,0,0,0,0,0
ASV_533,0,0,0,0,0
ASV_534,0,7,0,0,0
ASV_535,0,0,0,0,10
ASV_536,0,0,0,0,0
ASV_537,0,0,0,0,0
ASV_538,0,0,0,0,0
ASV_539,0,0,3,0,0
ASV_540,0,0,0,0,0
ASV_541,0,0,0,0,0
ASV_543,0,0,0,0,0
ASV_544,0,0,0,1,0
ASV_545,0,0,0,0,2
ASV_546,0,0,0,0,0
ASV_547,0,0,0,0,0
ASV_548,0,0,0,0,0
ASV_551,0,0,0,0,0
ASV_552,0,0,0,0,0
ASV_553,0,0,0,0,0
ASV_554,0,0,0,0,0
ASV_556,0,3,0,0,0
ASV_558,0,0,0,0,0
ASV_560,0,0,0,0,0
ASV_561,18,20,0,14,5
ASV_563,0,0,0,0,0
ASV_566,0,0,0,0,0
ASV_568,0,0,0,0,0
ASV_569,0,0,0,0,7
ASV_570,0,0,0,0,0
ASV_571,0,0,0,0,0
ASV_572,0,0,0,11,0
ASV_575,0,0,0,0,0
ASV_577,0,0,0,0,0
ASV_578,0,0,0,0,0
ASV_580,0,0,0,0,7
ASV_582,0,0,0,0,0
ASV_583,0,0,0,0,6
ASV_584,0,0,0,0,0
