Taxon,RDYS_1,RDYS_2,RDYS_3,RDYS_4,RDYS_5
d__Bacteria;p__Proteobacteria;c__unclassified_Proteobacteria,0.000147043,0,7.31E-05,0,0
d__Bacteria;p__RCP2-54;c__RCP2-54,0.000454497,0.001440631,0.000730684,0.0008635,0.000408157
d__Bacteria;p__SAR324_clade(Marine_group_B);c__SAR324_clade(Marine_group_B),0.00010694,0.000336596,0.000146137,0.00031032,0.000326525
d__Bacteria;p__Spirochaetota;c__Spirochaetia,0,0,0,0,0
d__Bacteria;p__Sumerlaeota;c__Sumerlaeia,0.000213881,0.000215421,5.85E-05,0.000148414,0.00039183
d__Bacteria;p__Synergistota;c__Synergistia,0,0,0,0,0
d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae,0.000668378,0.000888614,0.000175364,0.000296828,0.000342852
d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae,0,6.73E-05,2.92E-05,0,0
d__Bacteria;p__Verrucomicrobiota;c__Omnitrophia,6.68E-05,0.000417379,0,0.000107937,3.27E-05
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,0.009998931,0.00854954,0.009323532,0.006705614,0.006661116
d__Bacteria;p__Verrucomicrobiota;c__unclassified_Verrucomicrobiota,0,0,0,0,0
d__Bacteria;p__WOR-1;c__WOR-1,0,0,0,0,0
d__Bacteria;p__WPS-2;c__WPS-2,0.000441129,0.000336596,0.000350728,0.000580164,0.000179589
d__Bacteria;p__WS2;c__WS2,0.000294086,5.39E-05,0.000321501,0.000580164,0.000538767
d__Bacteria;p__unclassified_Bacteria;c__unclassified_Bacteria,0.004531601,0.006987734,0.00372649,0.003926225,0.004963184
