ID,YS0_F,YS25_F,YS50_F,YS75_F,YS100_F,
MP11127.pos,19365.04119,423719.781,82424.8646,20680.09777,55342.32332,Unclassified
MP11129.pos,106957.763,114204.9847,129176.819,177311.0424,175174.6565,Unclassified
MP11130.pos,5358712.677,2084833.268,2966920.03,3893616.908,2670759.498,Unclassified
MP11131.pos,1071721.762,199270.0987,880995.9468,518590.8732,733242.5678,Unclassified
MP11132.pos,1568092.077,76452.88516,422447.8412,44406.46656,1369844.004,Unclassified
MP11139.pos,15351.41552,8614.06424,62537.05276,79340.63364,13309.57492,Unclassified
MP11150.pos,11654.33442,9670.206891,14864.30731,16963.78471,14608.17752,Unclassified
MP11151.pos,17315.55676,21012.37623,18794.14376,21741.59215,10497.68933,Unclassified
MP11152.pos,17516.32827,23477.649,17704.18106,24208.43465,23599.724,Unclassified
MP11153.pos,15238.57536,11569.80092,18118.54298,24368.12087,15753.63091,Unclassified
MP11156.pos,434449.0209,367876.2188,508542.9576,484674.9219,474473.8714,Unclassified
MP11157.pos,459263.6539,465527.8565,503214.4812,506591.8397,436409.7023,Unclassified
MP11158.pos,27036110.3,27137356.17,25428755.43,24924914.18,26119062.41,Unclassified
MP11159.pos,1390059.839,679707.046,1485051.522,735529.0949,827768.1749,Unclassified
MP11160.pos,4033052.356,4082685.524,3689357.196,3995170.077,3665643.758,Unclassified
MP11161.pos,930893.2874,1887860.205,1884553.558,1952539.399,1653055.073,Unclassified
MP11164.pos,15971.27885,36937.27959,27143.73218,32663.66503,26442.40105,Unclassified
MP11165.pos,48498.84695,59447.9549,31654.19733,15878.02466,60207.89208,Unclassified
MP11166.pos,131494.5483,252768.9955,118333.7302,177915.0698,298147.8419,Unclassified
MP11167.pos,165112.5639,129278.734,169551.0655,232956.8656,174986.2301,Unclassified
MP11168.pos,454963.2705,564217.981,187596.3008,180831.5532,238529.5622,Unclassified
MP11172.pos,161942.8009,129792.8673,101373.4323,200445.1521,256072.1481,Unclassified
MP11173.pos,668321.741,2263688.93,423218.7531,456241.168,552029.2967,Unclassified
MP11174.pos,152469.7498,125975.8566,109493.8049,114536.7306,111197.9632,Unclassified
MP11175.pos,100656.1196,38052.72428,74272.26261,171475.1854,107010.6175,Unclassified
MP11176.pos,303269.6411,215487.2462,116364.602,200791.3659,152340.4871,Unclassified
MP11177.pos,197330.0059,53551.94539,48299.32577,111911.2203,75746.14645,Unclassified
MP11178.pos,450526.1927,181117.7002,114834.0192,118158.5501,282209.8181,Unclassified
MP11179.pos,153400.771,207619.3148,173597.4041,224408.0857,189727.8977,Unclassified
MP11180.pos,1154177.113,1402084.609,3956864.543,1073436.541,1567331.633,Unclassified
MP11181.pos,945547.7669,2652378.27,1101892.78,1224124.678,983557.1756,Fatty Acyls
MP11182.pos,105413.5851,5915346.269,715144.6728,401767.1702,557639.1087,Unclassified
MP11183.pos,98317.48496,131843.4484,116099.9802,142627.4344,116380.511,Unclassified
MP11187.pos,16456092.84,2734867399,14118498.44,16353350.04,14388647.03,Unclassified
MP11188.pos,357872.2322,356511.7157,516320.2076,644341.1673,413676.8713,Organonitrogen compounds
MP11190.pos,39686.25964,179628.3873,27774.35977,66417.39328,107308.5304,Unclassified
MP11193.pos,13212.9645,12199.87663,11360.81513,17940.45581,12100.64523,Unclassified
MP11204.pos,84231.56937,85462.23353,84794.23316,63345.26053,49884.67674,Unclassified
MP11205.pos,88175.12989,163743.8769,68212.92165,56919.89771,111659.0856,Unclassified
MP11207.pos,71442.41005,84856.94444,57528.3551,108377.0348,59852.17279,Unclassified
MP11214.pos,12073.25832,12220.65969,12745.79952,15732.39679,11895.01053,Unclassified
MP11216.pos,3577298.478,3153097.203,3669333.034,5177042.469,3228387.957,Unclassified
MP11218.pos,151031.5184,136660.0866,202184.9711,203856.809,334518.3921,Unclassified
MP11219.pos,11312446.48,7976812.821,5734707.1,8754243.514,8541151.605,Unclassified
MP11220.pos,934959.0058,650039.6652,847464.6107,973187.3797,931359.264,Unclassified
